股票代號,股票名稱,市場別
00878,國泰永續高股息,上市
00881,國泰台灣科技龍頭,上市
00882,中信中國高股息,上市
00883B,中信ESG投資級債,上櫃
00884B,中信低碳新興債,上櫃
00885,富邦越南,上市
00886,永豐美國科技,上櫃
00887,永豐中國科技50大,上櫃
00888,永豐台灣ESG,上櫃
00890B,凱基ESG BBB 債 15+,上櫃
00891,中信關鍵半導體,上市
00892,富邦台灣半導體,上市
00893,國泰智能電動車,上市
00894,中信小資高價30,上市
00895,富邦未來車,上市
00896,中信綠能及電動車,上市
00897,富邦基因免疫生技,上市
00898,國泰基因免疫革命,上市
00899,FT潔淨能源,上市
00900,富邦特選高股息30,上市
00901,永豐智能車供應鏈,上市
00902,中信電池及儲能,上市
00903,富邦元宇宙,上市
00904,新光臺灣半導體30,上市
00905,FT臺灣SMART,上市
00907,永豐優息存股,上市
00908,富邦入息REITs+,上市
00909,國泰數位支付服務,上市
00910,第一金太空衛星,上市
00911,兆豐洲際半導體,上市
00912,中信臺灣智慧50,上市
00913,兆豐台灣晶圓製造,上市
00915,凱基優選高股息30,上市
00916,國泰全球品牌50,上市
00917,中信特選金融,上市
00918,大華優利高填息30,上市
00919,群益台灣精選高息,上市
00920,富邦ESG綠色電力,上市
00921,兆豐龍頭等權重,上市
00922,國泰台灣領袖50,上市
00923,群益台ESG低碳50,上市
00924,復華S&P500成長,上市
00926,凱基全球菁英55,上市
00927,群益半導體收益,上市
00928,中信上櫃ESG 30,上櫃
00929,復華台灣科技優息,上市
00930,永豐ESG低碳高息,上市
00931B,統一美債20年,上櫃
00932,兆豐永續高息等權,上市
00933B,國泰10Y+金融債,上櫃
00934,中信成長高股息,上市
00935,野村臺灣新科技50,上市
00936,台新永續高息中小,上市
00937B,群益ESG投等債20+,上櫃
00938,凱基優選30,上市
00939,統一台灣高息動能,上市
00940,元大台灣價值高息,上市
00941,中信上游半導體,上市
00942B,台新美A公司債20+,上櫃
00943,兆豐電子高息等權,上市
00944,野村趨勢動能高息,上市
00945B,凱基美國非投等債,上市
00946,群益科技高息成長,上市
00947,台新臺灣IC設計,上市
00948B,中信優息投資級債,上櫃
00949,復華日本龍頭,上市
00950B,凱基A級公司債,上櫃
00951,台新日本半導體,上市
00952,凱基台灣AI50,上市
00953B,群益優選非投等債,上市
00954,中信日本半導體,上市
00955,中信日本商社,上櫃
00956,中信日經高股息,上市
00957B,兆豐US優選投等債,上櫃
00958B,永豐ESG銀行債15+,上櫃
00959B,大華投等美債15Y+,上櫃
00960,野村全球航運龍頭,上市
00961,FT臺灣永續高息,上市
00962,台新AI優息動能,上市
00963,中信全球高股息,上市
00964,中信亞太高股息,上市
00965,元大航太防衛科技,上市
00966B,統一ESG投等債15+,上櫃
00967B,元大優息美債,上櫃
00968B,元大優息投等債,上櫃
00969B,元大零息超長美債,上櫃
00970B,新光BBB投等債20+,上櫃
00971,野村美國研發龍頭,上市
00972,野村日本動能高息,上市
009800,中信NASDAQ,上市
009801,中信美國創新科技,上市
009802,富邦旗艦50,上市
009803,保德信市值動能50,上市
009804,聯邦台精彩50,上市
009805,新光美國電力基建,上市
009806,台新標普500,上櫃
009807,台新標普科技精選,上櫃
009808,華南永昌優選50,上市
009809,富邦淨零ESG50,上市
00980A,主動野村臺灣優選,上市
00980B,台新特選IG債10+,上櫃
00980D,主動聯博投等入息,上櫃
00980T,平衡凱基美國TOP,上櫃
009810,保德信全球藍籌,上市
009811,統一美國50,上市
009812,野村日本東證,上市
009813,貝萊德標普卓越50,上市
009814,富邦標普500,上櫃
00981A,主動統一台股增長,上市
00981B,第一金優選非投債,上櫃
00981D,主動中信非投等債,上櫃
00981T,平衡凱基雙核收息,上市
00982A,主動群益台灣強棒,上市
00982B,FT投資級債20+,上櫃
00982D,主動富邦動態入息,上市
00983A,主動中信ARK創新,上市
00983B,大華優利美公債20,上櫃
00983D,主動富邦複合收益,上市
00984A,主動安聯台灣高息,上市
00984B,大華優利美A債15,上櫃
00985A,主動野村台灣50,上市
00985B,群益ESG投等債0-5,上市
00986A,主動台新龍頭成長,上市
00986B,FT金融債10+,上櫃
00988A,主動統一全球創新,上市
00989A,主動摩根美國科技,上市
00991A,主動復華未來50,上市
1101,台泥,上市
1101B,台泥乙特,上市
1102,亞泥,上市
1103,嘉泥,上市
1104,環泥,上市
1108,幸福,上市
1109,信大,上市
1110,東泥,上市
1201,味全,上市
1203,味王,上市
1210,大成,上市
1213,大飲,上市
1215,卜蜂,上市
1216,統一,上市
1217,愛之味,上市
1218,泰山,上市
1219,福壽,上市
1220,台榮,上市
1225,福懋油,上市
1227,佳格,上市
1229,聯華,上市
1231,聯華食,上市
1232,大統益,上市
1233,天仁,上市
1234,黑松,上市
1235,興泰,上市
1236,宏亞,上市
1240,茂生農經,上櫃
1256,鮮活果汁-KY,上市
1259,安心,上櫃
1264,德麥,上櫃
1268,漢來美食,上櫃
1294,漢田生技,上櫃
1295,生合,上櫃
1301,台塑,上市
1303,南亞,上市
1304,台聚,上市
1305,華夏,上市
1307,三芳,上市
1308,亞聚,上市
1309,台達化,上市
1310,台苯,上市
1312,國喬,上市
1312A,國喬特,上市
1313,聯成,上市
1314,中石化,上市
1315,達新,上市
1316,上曜,上市
1319,東陽,上市
1321,大洋,上市
1323,永裕,上市
1324,地球,上市
1325,恆大,上市
1326,台化,上市
1336,台翰,上櫃
1337,再生-KY,上市
1338,廣華-KY,上市
1339,昭輝,上市
1340,勝悅-KY,上市
1341,富林-KY,上市
1342,八貫,上市
1402,遠東新,上市
1409,新纖,上市
1410,南染,上市
1413,宏洲,上市
1414,東和,上市
1416,廣豐,上市
1417,嘉裕,上市
1418,東華,上市
1419,新紡,上市
1423,利華,上市
1432,大魯閣,上市
1434,福懋,上市
1435,中福,上市
1436,華友聯,上市
1437,勤益控,上市
1438,三地開發,上市
1439,雋揚,上市
1440,南紡,上市
1441,大東,上市
1442,名軒,上市
1443,立益物流,上市
1444,力麗,上市
1445,大宇,上市
1446,宏和,上市
1447,力鵬,上市
1449,佳和,上市
1451,年興,上市
1452,宏益,上市
1453,大將,上市
1454,台富,上市
1455,集盛,上市
1456,怡華,上市
1457,宜進,上市
1459,聯發,上市
1460,宏遠,上市
1463,強盛新,上市
1464,得力,上市
1465,偉全,上市
1466,聚隆,上市
1467,南緯,上市
1468,昶和,上市
1470,大統新創,上市
1471,首利,上市
1472,三洋實業,上市
1473,台南,上市
1474,弘裕,上市
1475,業旺,上市
1476,儒鴻,上市
1477,聚陽,上市
1503,士電,上市
1504,東元,上市
1506,正道,上市
1512,瑞利,上市
1513,中興電,上市
1514,亞力,上市
1515,力山,上市
1516,川飛,上市
1517,利奇,上市
1519,華城,上市
1521,大億,上市
1522,堤維西,上市
1522A,堤維西甲特,上市
1524,耿鼎,上市
1525,江申,上市
1526,日馳,上市
1527,鑽全,上市
1528,恩德,上市
1529,樂事綠能,上市
1530,亞崴,上市
1531,高林股,上市
1532,勤美,上市
1533,車王電,上市
1535,中宇,上市
1536,和大,上市
1537,廣隆,上市
1538,正峰,上市
1539,巨庭,上市
1540,喬福,上市
1541,錩泰,上市
1558,伸興,上市
1560,中砂,上市
1563,巧新,上市
1565,精華,上櫃
1568,倉佑,上市
1569,濱川,上櫃
1570,力肯,上櫃
1580,新麥,上櫃
1582,信錦,上市
1583,程泰,上市
1584,精剛,上櫃
1586,和勤,上櫃
1587,吉茂,上市
1589,永冠-KY,上市
1590,亞德客-KY,上市
1591,駿吉-KY,上櫃
1593,祺驊,上櫃
1595,川寶,上櫃
1597,直得,上市
1598,岱宇,上市
1599,宏佳騰,上櫃
1603,華電,上市
1604,聲寶,上市
1605,華新,上市
1608,華榮,上市
1609,大亞,上市
1611,中電,上市
1612,宏泰,上市
1614,三洋電,上市
1615,大山,上市
1616,億泰,上市
1617,榮星,上市
1618,合機,上市
1626,艾美特-KY,上市
1702,南僑,上市
1707,葡萄王,上市
1708,東鹼,上市
1709,和益,上市
1710,東聯,上市
1711,永光,上市
1712,興農,上市
1713,國化,上市
1714,和桐,上市
1717,長興,上市
1718,中纖,上市
1720,生達,上市
1721,三晃,上市
1722,台肥,上市
1723,中碳,上市
1725,元禎,上市
1726,永記,上市
1727,中華化,上市
1730,花仙子,上市
1731,美吾華,上市
1732,毛寶,上市
1733,五鼎,上市
1734,杏輝,上市
1735,日勝化,上市
1736,喬山,上市
1737,臺鹽,上市
1742,台蠟,上櫃
1752,南光,上市
1760,寶齡富錦,上市
1762,中化生,上市
1773,勝一,上市
1776,展宇,上市
1777,生泰,上櫃
1781,合世,上櫃
1783,和康生,上市
1784,訊聯,上櫃
1785,光洋科,上櫃
1786,科妍,上市
1788,杏昌,上櫃
1789,神隆,上市
1795,美時,上市
1796,金穎生技,上櫃
1799,易威,上櫃
1802,台玻,上市
1805,寶徠,上市
1806,冠軍,上市
1808,潤隆,上市
1809,中釉,上市
1810,和成,上市
1813,寶利徠,上櫃
1815,富喬,上櫃
1817,凱撒衛,上市
1903,士紙,上市
1904,正隆,上市
1905,華紙,上市
1906,寶隆,上市
1907,永豐餘,上市
1909,榮成,上市
2002,中鋼,上市
2002A,中鋼特,上市
2006,東和鋼鐵,上市
2007,燁興,上市
2008,高興昌,上市
2009,第一銅,上市
2010,春源,上市
2012,春雨,上市
2013,中鋼構,上市
2014,中鴻,上市
2015,豐興,上市
2017,官田鋼,上市
2020,美亞,上市
2022,聚亨,上市
2023,燁輝,上市
2024,志聯,上市
2025,千興,上市
2027,大成鋼,上市
2028,威致,上市
2029,盛餘,上市
2030,彰源,上市
2031,新光鋼,上市
2032,新鋼,上市
2033,佳大,上市
2034,允強,上市
2035,唐榮,上櫃
2038,海光,上市
2049,上銀,上市
2059,川湖,上市
2061,風青,上櫃
2062,橋椿,上市
2063,世鎧,上櫃
2064,晉椿,上櫃
2065,世豐,上櫃
2066,世德,上櫃
2067,嘉鋼,上櫃
2069,運錩,上市
2070,精湛,上櫃
2073,雄順,上櫃
2101,南港,上市
2102,泰豐,上市
2103,台橡,上市
2104,國際中橡,上市
2105,正新,上市
2106,建大,上市
2107,厚生,上市
2108,南帝,上市
2109,華豐,上市
2114,鑫永銓,上市
2115,六暉-KY,上市
2201,裕隆,上市
2204,中華,上市
2206,三陽工業,上市
2207,和泰車,上市
2208,台船,上市
2211,長榮鋼,上市
2221,大甲,上櫃
2227,裕日車,上市
2228,劍麟,上市
2230,泰茂,上櫃
2231,為升,上市
2233,宇隆,上市
2235,謚源,上櫃
2236,百達-KY,上市
2239,英利-KY,上市
2241,艾姆勒,上市
2243,宏旭-KY,上市
2247,汎德永業,上市
2248,華勝-KY,上市
2250,IKKA-KY,上市
2301,光寶科,上市
2302,麗正,上市
2303,聯電,上市
2305,全友,上市
2308,台達電,上市
2312,金寶,上市
2313,華通,上市
2314,台揚,上市
2316,楠梓電,上市
2317,鴻海,上市
2321,東訊,上市
2323,中環,上市
2324,仁寶,上市
2327,國巨*,上市
2328,廣宇,上市
2329,華泰,上市
2330,台積電,上市
2331,精英,上市
2332,友訊,上市
2337,旺宏,上市
2338,光罩,上市
2340,台亞,上市
2342,茂矽,上市
2344,華邦電,上市
2345,智邦,上市
2347,聯強,上市
2348,海悅,上市
2348A,海悅甲特,上市
2349,錸德,上市
2351,順德,上市
2352,佳世達,上市
2353,宏碁,上市
2354,鴻準,上市
2355,敬鵬,上市
2356,英業達,上市
2357,華碩,上市
2359,所羅門,上市
2360,致茂,上市
2362,藍天,上市
2363,矽統,上市
2364,倫飛,上市
2365,昆盈,上市
2367,燿華,上市
2368,金像電,上市
2369,菱生,上市
2371,大同,上市
2373,震旦行,上市
2374,佳能,上市
2375,凱美,上市
2376,技嘉,上市
2377,微星,上市
2379,瑞昱,上市
2380,虹光,上市
2382,廣達,上市
2383,台光電,上市
2385,群光,上市
2387,精元,上市
2388,威盛,上市
2390,云辰,上市
2392,正崴,上市
2393,億光,上市
2395,研華,上市
2397,友通,上市
2399,映泰,上市
2401,凌陽,上市
2402,毅嘉,上市
2404,漢唐,上市
2405,輔信,上市
2406,國碩,上市
2408,南亞科,上市
2409,友達,上市
2412,中華電,上市
2413,環科,上市
2414,精技,上市
2415,錩新,上市
2417,圓剛,上市
2419,仲琦,上市
2420,新巨,上市
2421,建準,上市
2423,固緯,上市
2424,隴華,上市
2425,承啟,上市
2426,鼎元,上市
2427,三商電,上市
2428,興勤,上市
2429,銘旺科,上市
2430,燦坤,上市
2431,聯昌,上市
2433,互盛電,上市
2434,統懋,上市
2436,偉詮電,上市
2438,翔耀,上市
2439,美律,上市
2440,太空梭,上市
2441,超豐,上市
2442,新美齊,上市
2444,兆勁,上市
2449,京元電子,上市
2450,神腦,上市
2451,創見,上市
2453,凌群,上市
2454,聯發科,上市
2455,全新,上市
2457,飛宏,上市
2458,義隆,上市
2459,敦吉,上市
2460,建通,上市
2461,光群雷,上市
2462,良得電,上市
2464,盟立,上市
2465,麗臺,上市
2466,冠西電,上市
2467,志聖,上市
2468,華經,上市
2471,資通,上市
2472,立隆電,上市
2474,可成,上市
2476,鉅祥,上市
2477,美隆電,上市
2478,大毅,上市
2480,敦陽科,上市
2481,強茂,上市
2482,連宇,上市
2483,百容,上市
2484,希華,上市
2485,兆赫,上市
2486,一詮,上市
2488,漢平,上市
2489,瑞軒,上市
2491,吉祥全,上市
2492,華新科,上市
2493,揚博,上市
2495,普安,上市
2496,卓越,上市
2497,怡利電,上市
2498,宏達電,上市
2501,國建,上市
2504,國產,上市
2505,國揚,上市
2506,太設,上市
2509,全坤建,上市
2511,太子,上市
2514,龍邦,上市
2515,中工,上市
2516,新建,上市
2520,冠德,上市
2524,京城,上市
2527,宏璟,上市
2528,皇普,上市
2530,華建,上市
2534,宏盛,上市
2535,達欣工,上市
2536,宏普,上市
2537,聯上發,上市
2538,基泰,上市
2539,櫻花建,上市
2540,愛山林,上市
2542,興富發,上市
2543,皇昌,上市
2545,皇翔,上市
2546,根基,上市
2547,日勝生,上市
2548,華固,上市
2596,綠意,上櫃
2597,潤弘,上市
2601,益航,上市
2603,長榮,上市
2605,新興,上市
2606,裕民,上市
2607,榮運,上市
2608,嘉里大榮,上市
2609,陽明,上市
2610,華航,上市
2611,志信,上市
2612,中航,上市
2613,中櫃,上市
2614,東森,上市
2615,萬海,上市
2616,山隆,上市
2617,台航,上市
2618,長榮航,上市
2630,亞航,上市
2633,台灣高鐵,上市
2634,漢翔,上市
2636,台驊控股,上市
2637,慧洋-KY,上市
2640,大車隊,上櫃
2641,正德,上櫃
2642,宅配通,上市
2643,捷迅,上櫃
2645,長榮航太,上市
2646,星宇航空,上市
2701,萬企,上市
2702,華園,上市
2704,國賓,上市
2705,六福,上市
2706,第一店,上市
2707,晶華,上市
2712,遠雄來,上市
2718,全心投控,上櫃
2719,燦星旅,上櫃
2722,夏都,上市
2723,美食-KY,上市
2724,藝舍-KY,上櫃
2726,雅茗-KY,上櫃
2727,王品,上市
2729,瓦城,上櫃
2731,雄獅,上市
2732,六角,上櫃
2734,易飛網,上櫃
2736,富野,上櫃
2739,寒舍,上市
2740,天蔥,上櫃
2743,山富,上櫃
2745,五福,上櫃
2748,雲品,上市
2751,王座,上櫃
2752,豆府,上櫃
2753,八方雲集,上市
2754,亞洲藏壽司,上櫃
2755,揚秦,上櫃
2756,聯發國際,上櫃
2762,世界健身-KY,上市
2801,彰銀,上市
2812,台中銀,上市
2816,旺旺保,上市
2820,華票,上市
2832,台產,上市
2834,臺企銀,上市
2836,高雄銀,上市
2836A,高雄銀甲特,上市
2838,聯邦銀,上市
2838A,聯邦銀甲特,上市
2845,遠東銀,上市
2849,安泰銀,上市
2850,新產,上市
2851,中再保,上市
2852,第一保,上市
2855,統一證,上市
2867,三商壽,上市
2880,華南金,上市
2881,富邦金,上市
2881A,富邦特,上市
2881B,富邦金乙特,上市
2881C,富邦金丙特,上市
2882,國泰金,上市
2882A,國泰特,上市
2882B,國泰金乙特,上市
2883,凱基金,上市
2883B,凱基金乙特,上市
2884,玉山金,上市
2885,元大金,上市
2886,兆豐金,上市
2887,台新新光金,上市
2887E,台新新光戊特一,上市
2887F,台新新光戊特二,上市
2887G,台新新光庚特一,上市
2887H,台新新光庚特二,上市
2887I,台新新光辛特,上市
2887Z1,台新新光己特,上市
2889,國票金,上市
2890,永豐金,上市
2891,中信金,上市
2891B,中信金乙特,上市
2891C,中信金丙特,上市
2892,第一金,上市
2897,王道銀行,上市
2897B,王道銀乙特,上市
2901,欣欣,上市
2903,遠百,上市
2904,匯僑,上市
2905,三商,上市
2906,高林,上市
2908,特力,上市
2910,統領,上市
2911,麗嬰房,上市
2912,統一超,上市
2913,農林,上市
2915,潤泰全,上市
2916,滿心,上櫃
2923,鼎固-KY,上市
2924,宏太-KY,上櫃
2926,誠品生活,上櫃
2929,淘帝-KY,上市
2937,集雅社,上櫃
2939,永邑-KY,上市
2941,米斯特,上櫃
2945,三商家購,上市
2947,振宇五金,上櫃
2948,寶陞,上櫃
2949,欣新網,上櫃
3002,歐格,上市
3003,健和興,上市
3004,豐達科,上市
3005,神基,上市
3006,晶豪科,上市
3008,大立光,上市
3010,華立,上市
3011,今皓,上市
3013,晟銘電,上市
3014,聯陽,上市
3015,全漢,上市
3016,嘉晶,上市
3017,奇鋐,上市
3018,隆銘綠能,上市
3019,亞光,上市
3021,鴻名,上市
3022,威強電,上市
3023,信邦,上市
3024,憶聲,上市
3025,星通,上市
3026,禾伸堂,上市
3027,盛達,上市
3028,增你強,上市
3029,零壹,上市
3030,德律,上市
3031,佰鴻,上市
3032,偉訓,上市
3033,威健,上市
3034,聯詠,上市
3035,智原,上市
3036,文曄,上市
3036A,文曄甲特,上市
3037,欣興,上市
3038,全台,上市
3040,遠見,上市
3041,揚智,上市
3042,晶技,上市
3043,科風,上市
3044,健鼎,上市
3045,台灣大,上市
3046,建碁,上市
3047,訊舟,上市
3048,益登,上市
3049,精金,上市
3050,鈺德,上市
3051,力特,上市
3052,夆典,上市
3054,立萬利,上市
3055,蔚華科,上市
3056,富華新,上市
3057,喬鼎,上市
3058,立德,上市
3059,華晶科,上市
3060,銘異,上市
3062,建漢,上市
3064,泰偉,上櫃
3066,李洲,上櫃
3067,全域,上櫃
3071,協禧,上櫃
3073,天方能源,上櫃
3078,僑威,上櫃
3081,聯亞,上櫃
3083,網龍,上櫃
3085,新零售,上櫃
3086,華義,上櫃
3088,艾訊,上櫃
3090,日電貿,上市
3092,鴻碩,上市
3093,港建*,上櫃
3094,聯傑,上市
3095,及成,上櫃
3105,穩懋,上櫃
3114,好德,上櫃
3115,富榮綱,上櫃
3118,進階,上櫃
3122,笙泉,上櫃
3128,昇銳,上櫃
3130,一零四,上市
3131,弘塑,上櫃
3135,凌航,上市
3138,耀登,上市
3141,晶宏,上櫃
3147,大綜,上櫃
3149,正達,上市
3152,璟德,上櫃
3158,嘉實,上櫃
3162,精確,上櫃
3163,波若威,上櫃
3164,景岳,上市
3167,大量,上市
3168,眾福科,上市
3169,亞信,上櫃
3171,炎洲流通,上櫃
3176,基亞,上櫃
3178,公準,上櫃
3188,鑫龍騰,上櫃
3189,景碩,上市
3191,雲嘉南,上櫃
3205,佰研,上櫃
3206,志豐,上櫃
3207,耀勝,上櫃
3209,全科,上市
3211,順達,上櫃
3213,茂訊,上櫃
3217,優群,上櫃
3218,大學光,上櫃
3219,倚強科,上櫃
3221,台嘉碩,上櫃
3224,三顧,上櫃
3226,龍鋒,上櫃
3227,原相,上櫃
3228,金麗科,上櫃
3229,晟鈦,上市
3230,錦明,上櫃
3231,緯創,上市
3232,昱捷,上櫃
3234,光環,上櫃
3236,千如,上櫃
3252,海灣,上櫃
3257,虹冠電,上市
3259,鑫創,上櫃
3260,威剛,上櫃
3264,欣銓,上櫃
3265,台星科,上櫃
3266,昇陽,上市
3268,海德威,上櫃
3272,東碩,上櫃
3276,宇環,上櫃
3284,太普高,上櫃
3285,微端,上櫃
3287,廣寰科,上櫃
3288,點晶,上櫃
3289,宜特,上櫃
3290,東浦,上櫃
3293,鈊象,上櫃
3294,英濟,上櫃
3296,勝德,上市
3297,杭特,上櫃
3303,岱稜,上櫃
3305,昇貿,上市
3306,鼎天,上櫃
3308,聯德,上市
3310,佳穎,上櫃
3311,閎暉,上市
3312,弘憶股,上市
3313,斐成,上櫃
3317,尼克森,上櫃
3321,同泰,上市
3322,建舜電,上櫃
3323,加百裕,上櫃
3324,雙鴻,上櫃
3325,旭品,上櫃
3332,幸康,上櫃
3338,泰碩,上市
3339,泰谷,上櫃
3346,麗清,上市
3349,寶德,上櫃
3354,律勝,上櫃
3356,奇偶,上市
3357,臺慶科,上櫃
3360,尚立,上櫃
3362,先進光,上櫃
3363,上詮,上櫃
3372,典範,上櫃
3373,熱映,上櫃
3374,精材,上櫃
3376,新日興,上市
3379,彬台,上櫃
3380,明泰,上市
3388,崇越電,上櫃
3390,旭軟,上櫃
3402,漢科,上櫃
3406,玉晶光,上市
3413,京鼎,上市
3416,融程電,上市
3419,譁裕,上市
3426,台興,上櫃
3430,奇鈦科,上櫃
3432,台端,上市
3434,哲固,上櫃
3437,榮創,上市
3438,類比科,上櫃
3441,聯一光,上櫃
3443,創意,上市
3444,利機,上櫃
3447,展達,上市
3450,聯鈞,上市
3454,晶睿,上市
3455,由田,上櫃
3465,進泰電子,上櫃
3466,德晉,上櫃
3467,台灣精材,上櫃
3479,安勤,上櫃
3481,群創,上市
3483,力致,上櫃
3484,崧騰,上櫃
3489,森寶,上櫃
3490,單井,上櫃
3491,昇達科,上櫃
3492,長盛,上櫃
3494,誠研,上市
3498,陽程,上櫃
3499,環天科,上櫃
